ground_truth_organizational_structure,prediction_organizational_structure,rounded_prediction_organizational_structure,ground_truth_coherence,prediction_coherence,rounded_prediction_coherence,ground_truth_essay_length,prediction_essay_length,rounded_prediction_essay_length,ground_truth_grammatical_accuracy,prediction_grammatical_accuracy,rounded_prediction_grammatical_accuracy,ground_truth_grammatical_diversity,prediction_grammatical_diversity,rounded_prediction_grammatical_diversity,ground_truth_lexical_accuracy,prediction_lexical_accuracy,rounded_prediction_lexical_accuracy,ground_truth_lexical_diversity,prediction_lexical_diversity,rounded_prediction_lexical_diversity,ground_truth_punctuation_accuracy,prediction_punctuation_accuracy,rounded_prediction_punctuation_accuracy,ground_truth_argument_clarity,prediction_argument_clarity,rounded_prediction_argument_clarity,ground_truth_justifying_persuasiveness,prediction_justifying_persuasiveness,rounded_prediction_justifying_persuasiveness
3.0,3.1738281,3.0,3.0,3.4257812,3.5,3.5,3.8574219,4.0,3.5,3.0097656,3.0,2.5,3.1894531,3.0,2.5,3.1953125,3.0,3.0,2.9902344,3.0,5.0,3.5039062,3.5,2.0,3.4609375,3.5,2.5,3.2734375,3.5
3.0,3.0136719,3.0,3.0,3.171875,3.0,2.5,3.5214844,3.5,2.5,2.8613281,3.0,3.0,3.0097656,3.0,3.0,3.0371094,3.0,2.5,2.8320312,3.0,2.5,3.2246094,3.0,3.5,3.3183594,3.5,2.5,3.0761719,3.0
4.0,3.7460938,3.5,4.0,3.9101562,4.0,3.0,4.3398438,4.5,3.5,3.7265625,3.5,3.5,3.8886719,4.0,3.5,3.9433594,4.0,3.5,3.5410156,3.5,4.0,3.9628906,4.0,2.5,3.7207031,3.5,4.0,3.6894531,3.5
4.0,4.0429688,4.0,4.0,4.2773438,4.5,4.0,4.9023438,5.0,4.5,4.3632812,4.5,4.0,4.5976562,4.5,4.0,4.6210938,4.5,4.0,3.9179688,4.0,4.5,4.5390625,4.5,4.0,4.0273438,4.0,3.5,4.1289062,4.0
3.0,3.2519531,3.5,3.0,3.5605469,3.5,4.0,4.0078125,4.0,3.0,3.3027344,3.5,3.0,3.6230469,3.5,3.0,3.6289062,3.5,3.0,3.1582031,3.0,3.0,3.6132812,3.5,3.5,3.5410156,3.5,3.0,3.3808594,3.5
2.0,3.7265625,3.5,4.0,4.1054688,4.0,4.0,4.6367188,4.5,3.0,4.1015625,4.0,4.0,4.40625,4.5,4.0,4.4648438,4.5,4.0,3.7558594,4.0,4.5,4.4296875,4.5,3.5,3.7949219,4.0,4.0,3.9589844,4.0
3.0,3.6191406,3.5,4.0,3.6660156,3.5,3.0,4.2617188,4.5,2.5,3.2324219,3.0,3.0,3.4960938,3.5,3.0,3.5351562,3.5,4.0,3.3339844,3.5,4.0,3.6386719,3.5,3.5,3.90625,4.0,3.5,3.6542969,3.5
3.0,2.6386719,2.5,2.5,2.6464844,2.5,2.5,3.1738281,3.0,2.0,2.234375,2.0,2.0,2.4570312,2.5,2.0,2.4863281,2.5,2.0,2.4335938,2.5,2.0,2.5507812,2.5,2.5,3.0410156,3.0,3.0,2.7128906,2.5
4.0,4.1328125,4.0,4.0,4.1875,4.0,4.5,4.8320312,5.0,3.5,3.9570312,4.0,3.5,4.1445312,4.0,3.5,4.2226562,4.0,3.0,3.765625,4.0,5.0,4.265625,4.5,3.5,4.1289062,4.0,4.0,4.1328125,4.0
2.5,2.6386719,2.5,2.0,2.5605469,2.5,3.5,3.2578125,3.5,2.0,2.078125,2.0,2.0,2.2597656,2.5,2.0,2.2949219,2.5,2.0,2.3066406,2.5,2.5,2.3515625,2.5,2.0,2.9804688,3.0,2.5,2.6542969,2.5
3.0,3.2089844,3.0,3.5,3.4023438,3.5,3.5,3.9042969,4.0,2.5,3.0019531,3.0,2.0,3.0585938,3.0,2.0,3.1464844,3.0,2.5,2.8496094,3.0,4.0,3.4003906,3.5,3.5,3.6132812,3.5,3.0,3.2441406,3.0
3.0,3.3496094,3.5,4.0,3.4804688,3.5,4.0,3.9863281,4.0,2.5,3.1386719,3.0,3.0,3.2441406,3.0,3.0,3.2929688,3.5,3.5,3.078125,3.0,3.5,3.5117188,3.5,4.0,3.6191406,3.5,3.0,3.3261719,3.5
4.0,3.9199219,4.0,4.0,4.0195312,4.0,3.5,4.6601562,4.5,3.0,3.9648438,4.0,3.0,4.0859375,4.0,3.0,4.2109375,4.0,3.0,3.5742188,3.5,4.0,4.2304688,4.0,4.0,4.0195312,4.0,3.0,3.8085938,4.0
2.0,2.6132812,2.5,2.0,2.9726562,3.0,2.0,3.25,3.0,2.5,3.0175781,3.0,3.0,3.3476562,3.5,3.0,3.3359375,3.5,2.0,2.8066406,3.0,2.5,3.2910156,3.5,2.0,2.9746094,3.0,2.5,2.8242188,3.0
4.0,4.3710938,4.5,4.5,4.4765625,4.5,5.0,5.1835938,5.0,5.0,4.6171875,4.5,4.5,4.84375,5.0,4.5,4.9179688,5.0,4.0,4.1328125,4.0,4.5,4.6601562,4.5,3.5,4.1484375,4.0,4.0,4.2929688,4.5
4.0,3.9199219,4.0,4.0,4.0390625,4.0,4.5,4.7148438,4.5,2.5,3.8671875,4.0,3.5,4.0742188,4.0,3.5,4.0898438,4.0,3.0,3.5722656,3.5,3.5,4.1679688,4.0,3.0,4.0273438,4.0,3.5,3.8496094,4.0
3.5,3.7304688,3.5,3.5,3.8847656,4.0,3.5,4.4414062,4.5,4.0,3.7128906,3.5,4.0,3.8808594,4.0,4.0,3.9042969,4.0,3.0,3.4257812,3.5,4.0,4.0429688,4.0,3.0,3.8144531,4.0,3.5,3.6503906,3.5
3.5,3.5664062,3.5,3.0,3.6601562,3.5,4.5,4.2578125,4.5,2.5,3.4238281,3.5,3.0,3.515625,3.5,3.0,3.6445312,3.5,3.0,3.21875,3.0,3.5,3.703125,3.5,4.0,3.7363281,3.5,3.0,3.5097656,3.5
3.0,2.9492188,3.0,3.0,3.1503906,3.0,3.5,3.5078125,3.5,2.0,2.7617188,3.0,3.0,2.9785156,3.0,3.0,2.984375,3.0,2.0,2.7519531,3.0,3.0,3.1796875,3.0,3.5,3.3183594,3.5,3.0,3.0429688,3.0
3.5,3.7382812,3.5,4.0,3.8242188,4.0,5.0,4.4140625,4.5,3.0,3.4140625,3.5,2.5,3.484375,3.5,2.5,3.5722656,3.5,3.0,3.3027344,3.5,3.0,3.7578125,4.0,3.0,3.875,4.0,3.0,3.6425781,3.5
3.5,3.3359375,3.5,2.5,3.2207031,3.0,2.0,3.5429688,3.5,2.5,2.9921875,3.0,3.0,3.0917969,3.0,3.0,3.2128906,3.0,3.0,2.8730469,3.0,4.0,3.5625,3.5,4.0,3.4296875,3.5,3.0,3.1210938,3.0
4.0,3.5273438,3.5,3.0,3.625,3.5,3.0,4.1484375,4.0,3.0,3.2578125,3.5,3.0,3.4472656,3.5,3.0,3.4921875,3.5,2.5,3.1640625,3.0,4.0,3.7402344,3.5,4.0,3.8496094,4.0,3.0,3.5019531,3.5
3.0,3.0019531,3.0,3.0,3.1289062,3.0,4.0,3.5429688,3.5,3.0,2.6386719,2.5,3.0,2.8359375,3.0,3.0,2.8886719,3.0,3.0,2.75,3.0,2.5,3.1171875,3.0,2.0,3.1542969,3.0,2.5,2.9785156,3.0
4.0,3.9882812,4.0,4.0,3.9921875,4.0,4.5,4.65625,4.5,3.0,3.6035156,3.5,3.0,3.8691406,4.0,3.0,3.9140625,4.0,3.5,3.4765625,3.5,3.5,4.1210938,4.0,3.5,4.0195312,4.0,4.0,3.875,4.0
5.0,4.5,4.5,4.5,4.5,4.5,4.5,5.1992188,5.0,4.0,4.4921875,4.5,5.0,4.7460938,4.5,5.0,4.828125,5.0,4.0,4.1367188,4.0,4.0,4.6367188,4.5,4.5,4.1953125,4.0,4.0,4.359375,4.5
2.0,2.0175781,2.0,2.0,1.9824219,2.0,3.0,2.6289062,2.5,2.0,1.5800781,1.5,1.0,1.8085938,2.0,1.0,1.7822266,2.0,2.0,1.8701172,2.0,2.0,1.9042969,2.0,2.0,2.3105469,2.5,2.0,2.2050781,2.0
4.0,3.78125,4.0,3.0,3.7011719,3.5,5.0,4.390625,4.5,3.0,3.3222656,3.5,3.0,3.4492188,3.5,3.0,3.4765625,3.5,3.5,3.2578125,3.5,3.5,3.6992188,3.5,3.5,3.8554688,4.0,3.0,3.5371094,3.5
3.5,3.4160156,3.5,3.0,3.3828125,3.5,3.5,4.0273438,4.0,2.5,3.0722656,3.0,2.5,3.1445312,3.0,2.5,3.2773438,3.5,2.5,3.1054688,3.0,5.0,3.6386719,3.5,4.0,3.6835938,3.5,3.5,3.4023438,3.5
4.0,3.9179688,4.0,3.5,3.8222656,4.0,3.0,4.3789062,4.5,3.5,3.6015625,3.5,3.0,3.7363281,3.5,3.0,3.8105469,4.0,3.0,3.4980469,3.5,4.0,4.0117188,4.0,4.0,3.8828125,4.0,3.5,3.8085938,4.0
4.0,3.953125,4.0,4.0,4.015625,4.0,4.0,4.59375,4.5,3.0,3.8242188,4.0,4.0,4.0703125,4.0,4.0,4.0429688,4.0,3.0,3.6347656,3.5,3.5,4.2578125,4.5,3.0,3.7910156,4.0,3.5,3.9355469,4.0
3.5,3.6464844,3.5,3.0,3.6386719,3.5,4.0,4.1757812,4.0,3.0,3.2675781,3.5,3.0,3.5390625,3.5,3.0,3.5625,3.5,3.0,3.1992188,3.0,3.5,3.7402344,3.5,3.5,3.796875,4.0,3.5,3.5039062,3.5
4.0,3.7070312,3.5,3.0,3.7597656,4.0,4.0,4.3515625,4.5,3.5,3.5292969,3.5,3.0,3.671875,3.5,3.0,3.7441406,3.5,3.0,3.3027344,3.5,3.5,3.8828125,4.0,3.0,3.9179688,4.0,3.0,3.6640625,3.5
3.5,3.4960938,3.5,3.0,3.5429688,3.5,4.5,4.1484375,4.0,2.0,3.0878906,3.0,3.0,3.2832031,3.5,3.0,3.3417969,3.5,3.0,3.125,3.0,4.0,3.5273438,3.5,3.5,3.7226562,3.5,3.0,3.4394531,3.5
